id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
314,I,1.25,0.975,0.3375,19.17843675,8.561549,4.43669675,5.2446575,9.0
315,I,0.95,0.725,0.2375,8.5331995,3.345241,1.88524175,2.551455,7.0
316,M,1.4125,1.1,0.375,26.988724,11.75086775,5.42892925,7.2291225,9.0
317,M,1.4375,1.1625,0.45,29.7386255,13.11164375,6.5487345,9.02931575,11.0
318,F,1.5,1.175,0.4,32.13415825,14.13222575,7.27164675,8.9300925,15.0
319,F,1.5375,1.175,0.4,30.220567,13.93377925,6.406987,8.1363065,12.0
320,F,1.6,1.1875,0.4125,33.339012,15.1102835,7.6827145,8.9300925,11.0
321,F,1.6875,1.3125,0.5375,49.32813,14.344847,8.60407325,17.0097,19.0
322,M,1.5875,1.275,0.4375,36.457457,14.2030995,8.46232575,11.623295,18.0
323,F,0.675,0.4875,0.15,3.92640575,1.6726205,0.89300925,0.850485,15.0
324,F,1.5125,1.0875,0.4,26.46425825,9.8372765,3.81300775,9.2135875,15.0
325,F,1.45,1.125,0.4375,24.67823975,11.26892625,5.79747275,7.7961125,10.0
326,I,1.2375,0.95,0.35,14.7133905,6.67630725,2.56562975,4.40834725,9.0
327,F,1.4875,1.2,0.375,34.7848365,14.968536,8.391452,9.7805775,11.0
328,F,1.4875,1.1625,0.3625,31.26406125,15.46465225,7.29999625,7.087375,9.0
329,M,1.625,1.2625,0.4375,36.55668025,13.5227115,7.2858215,11.623295,13.0
330,M,1.75,1.4375,0.5,50.6605565,23.6151335,11.60912025,14.2030995,11.0
331,M,1.4125,1.1125,0.4,24.8058125,11.4815475,6.22271525,7.2291225,8.0
332,F,1.3,1.0875,0.375,26.2799865,7.93786,5.499803,7.087375,10.0
333,M,1.6625,1.25,0.5,36.7126025,16.726205,8.1363065,9.7805775,14.0
334,M,1.5125,1.125,0.4125,29.937072,13.08329425,7.38504475,8.6465975,10.0
335,I,0.9625,0.7,0.25,7.1157245,3.30271675,1.984465,2.05533875,7.0
336,F,1.2125,0.925,0.3125,14.571643,5.88252125,3.7137845,4.252425,10.0
337,M,1.2125,0.9875,0.3,18.71067,8.66077225,3.52951275,4.819415,8.0
338,M,1.425,1.0625,0.375,26.32251075,10.47514025,5.57067675,7.7961125,10.0
339,M,1.7,1.275,0.45,50.745605,20.73765925,12.94154675,14.10387625,12.0
340,M,1.4,1.1125,0.3625,24.9192105,9.48290775,5.5281525,7.2291225,10.0
341,I,0.95,0.675,0.25,7.95203475,3.44446425,1.7293195,2.4097075,6.0
342,M,1.5125,1.2375,0.4375,36.967748,16.4143605,7.01650125,9.05766525,10.0
343,M,1.4625,1.1625,0.4,27.22969475,10.81533425,6.16601625,8.06543275,11.0
344,M,1.65,1.3125,0.425,38.8104655,17.78931125,7.52679225,9.02931575,9.0
345,I,1.325,1.05,0.3875,20.638436,8.561549,4.18155125,5.386405,9.0
346,F,1.175,0.9125,0.3,13.53688625,6.08096775,2.99087225,4.9611625,7.0
347,M,1.2125,0.925,0.3,15.74814725,7.087375,3.01922175,4.139027,8.0
348,M,1.8,1.375,0.4375,60.96559975,30.46153775,10.602713,14.74174,11.0
349,I,1.125,0.85,0.3125,13.53688625,6.6621325,2.48058125,3.33106625,7.0
350,I,1.0875,0.85,0.2375,9.65300475,4.0539785,1.88524175,2.778251,7.0
351,M,1.675,1.2875,0.375,34.6147395,15.37960375,7.4559185,9.355335,10.0
352,F,1.575,1.2,0.45,33.57998275,12.20445975,7.75358825,12.0485375,13.0
353,F,1.525,1.2125,0.425,32.98464325,13.82038125,6.3219385,8.6465975,12.0
354,M,1.7625,1.35,0.4625,44.55123925,19.5895045,8.88756825,13.60776,11.0
355,F,1.5125,1.1875,0.4125,31.467945,10.73028575,7.24329725,10.489315,17.0
356,M,1.65,1.325,0.4125,43.87085125,17.8318355,8.901743,11.3398,10.0
357,I,1.325,1.0625,0.325,21.04950375,10.035723,3.95475525,5.8116475,8.0
358,I,1.125,0.8375,0.275,11.43902325,4.9611625,2.14038725,3.8271825,9.0
359,M,1.4,1.1,0.4125,24.153774,11.1413535,6.90310325,7.654365,9.0
360,I,1.0125,0.8125,0.275,9.8372765,3.515338,2.5231055,2.83495,10.0
361,M,0.7875,0.6125,0.1875,4.649318,1.20485375,0.86465975,1.13398,5.0
362,F,1.8,1.5,0.575,60.6962795,28.27862625,14.4298955,16.3009625,11.0
363,M,1.2125,0.975,0.325,18.01610725,6.05261825,3.7704835,5.386405,18.0
364,F,1.175,0.8875,0.3125,13.0124205,5.42892925,2.83495,3.685435,12.0
365,M,1.375,1.0875,0.3375,23.7285315,11.97766375,4.66349275,5.6699,11.0
366,M,1.6,1.3125,0.4375,36.69842775,17.10892325,8.43397625,10.02154825,12.0
367,F,1.425,1.1,0.35,23.85610425,9.412034,6.98815175,6.0951425,11.0
368,M,1.3,1.1,0.3375,24.28134675,10.19164525,4.86193925,7.7961125,9.0
369,F,1.6,1.3125,0.4625,44.15434625,18.01610725,9.6104805,10.546014,10.0
370,F,1.25,0.95,0.3375,17.2648455,7.1724235,4.23825025,5.953395,9.0
371,M,1.2,0.925,0.3125,14.2030995,5.953395,3.231843,4.252425,9.0
372,M,1.6125,1.25,0.375,37.931631,16.6411565,7.3992195,9.4970825,10.0
373,M,1.35,1.1125,0.3125,22.92057075,9.62465525,5.17378375,6.6621325,10.0
374,I,1.0375,0.775,0.225,10.39009175,4.422522,1.80019325,2.9766975,7.0
375,F,1.35,1.0125,0.325,21.035329,11.396499,4.86193925,5.48562825,9.0
376,I,0.925,0.725,0.2375,7.0590255,3.061746,1.88524175,1.984465,9.0
377,M,1.55,1.2125,0.425,37.32211675,16.59863225,9.241937,10.0640725,11.0
378,F,1.35,1.0375,0.35,23.09066775,11.49572225,4.479221,5.5281525,9.0
379,F,1.3,1.0125,0.35,18.27125275,7.66853975,4.1106775,6.3786375,10.0
380,M,1.5625,1.1375,0.4375,32.07745925,14.401546,7.86698625,8.46232575,10.0
381,M,1.5375,1.175,0.4125,28.066005,12.26115875,6.13766675,8.3631025,10.0
382,I,1.0625,0.775,0.25,10.8011595,5.3013565,2.4664065,2.324659,8.0
383,M,1.525,1.2125,0.4125,30.34813975,11.15552825,9.241937,8.0796075,9.0
384,M,1.5375,1.175,0.375,30.674159,13.08329425,5.5281525,8.9300925,12.0
385,F,1.6375,1.3375,0.5,40.25629,14.72756525,8.1363065,12.757275,17.0
386,F,1.3125,0.9375,0.3125,14.17475,6.406987,2.6932025,4.40834725,8.0
387,M,1.4375,1.125,0.3625,27.0170735,11.453198,4.649318,7.93786,14.0
388,F,1.45,1.2,0.4375,32.0065855,12.984071,6.973977,11.7650425,13.0
389,F,0.9375,0.6875,0.225,6.180191,2.65067825,1.31825175,1.984465,14.0
390,F,1.3875,1.125,0.4,23.7285315,10.489315,4.4508715,6.7755305,9.0
391,I,1.0125,0.8125,0.275,10.58853825,4.9044635,2.14038725,3.118445,7.0
392,I,1.1875,0.95,0.3125,12.47378,5.40057975,2.891649,4.3941725,8.0
393,I,0.825,0.625,0.1875,5.783298,2.50893075,1.17650425,1.13398,6.0
394,M,1.575,1.225,0.4375,34.9549335,16.159215,6.860579,9.355335,11.0
395,M,1.4625,1.1875,0.4,31.56716825,14.27397325,7.3992195,9.298636,10.0
396,F,1.5375,1.2625,0.475,32.50270175,13.67863375,7.1157245,9.4970825,11.0
397,M,1.5125,1.225,0.425,29.69610125,12.1619355,7.10154975,8.0796075,11.0
398,I,1.2625,0.95,0.3625,19.674553,7.6827145,4.06815325,5.953395,10.0
399,I,1.1,0.8375,0.3125,11.1413535,6.90310325,2.5231055,2.83495,7.0
400,M,1.6,1.3125,0.5,42.354153,18.824068,9.76640275,10.489315,13.0
401,I,1.4375,1.1375,0.375,28.8314415,13.1825175,5.71242425,7.7961125,9.0
402,F,1.2375,0.9625,0.3,18.5689225,8.60407325,3.86970675,5.2446575,8.0
403,M,1.3625,1.0375,0.375,22.5378525,8.37727725,5.386405,6.9456275,12.0
404,I,0.65,0.5,0.2,2.721552,1.0489315,0.58116475,0.850485,5.0
405,M,1.675,1.3125,0.4375,41.560367,17.16562225,8.85921875,11.32562525,10.0
406,F,1.25,1.0,0.3625,21.44639675,8.66077225,3.98310475,6.23689,13.0
407,I,1.0875,0.8125,0.275,10.64523725,4.139027,1.814368,2.9766975,8.0
408,F,1.2875,0.925,0.4125,22.963095,10.67358675,5.046211,6.4353365,8.0
409,M,1.6125,1.25,0.5125,49.69249875,17.53416575,8.561549,18.427175,16.0
410,I,1.025,0.75,0.25,8.9300925,3.92640575,1.48834875,2.551455,7.0
411,I,0.9,0.675,0.225,6.30776375,2.65067825,1.37495075,1.984465,7.0
412,M,1.45,1.1,0.375,23.71435675,11.0846545,4.77689075,6.520385,9.0
413,F,1.25,1.025,0.375,18.80989325,5.9817445,4.60679375,6.0951425,14.0
414,F,1.725,1.3125,0.475,48.7327905,18.86659225,11.07047975,11.90679,16.0
415,F,1.5875,1.275,0.4375,38.9805625,14.44407025,8.5898985,10.489315,11.0
416,M,1.45,1.1375,0.3875,28.56212125,13.25339125,6.25106475,7.5126175,10.0
417,I,0.625,0.4625,0.175,2.721552,1.0489315,0.56699,0.850485,5.0
418,I,1.2125,0.8875,0.3125,13.437663,5.59902625,3.5436875,3.8271825,10.0
419,I,1.3375,1.05,0.3625,20.184844,9.76640275,4.01145425,5.2446575,9.0
420,M,1.35,1.0375,0.3375,21.9708625,7.35669525,4.7910655,7.7961125,16.0
421,F,1.4125,1.0875,0.4375,25.741346,9.8939755,5.5848515,7.72523875,10.0
422,F,1.55,1.2625,0.4125,38.08755325,18.6256215,8.3064035,10.77281,12.0
423,M,1.6125,1.2125,0.45,32.16250775,13.947954,7.78193775,9.63883,10.0
424,M,1.375,1.075,0.3625,23.45921125,10.8011595,5.48562825,6.9456275,11.0
425,M,1.4375,1.125,0.4375,28.8314415,12.3887315,5.71242425,9.07184,11.0
426,M,1.5,1.125,0.3625,28.91649,13.53688625,6.08096775,7.37087,8.0
427,F,1.3375,1.05,0.4375,21.9708625,8.77417025,5.2446575,7.087375,13.0
428,M,1.1625,0.8875,0.2875,13.33843975,5.4147545,2.59397925,4.252425,10.0
429,M,1.625,1.2875,0.475,39.41997975,17.70426275,8.3631025,11.0846545,12.0
430,I,1.225,0.925,0.275,15.4504775,7.1724235,2.5231055,4.63514325,10.0
431,F,1.6875,1.3,0.4125,41.900561,19.731252,8.731646,11.90679,11.0
432,M,1.35,1.05,0.325,23.700182,8.3064035,4.57844425,6.80388,11.0
433,F,1.625,1.3125,0.4375,34.5013415,14.401546,7.3425205,9.355335,12.0
434,M,1.375,1.05,0.3375,23.700182,8.32057825,4.479221,8.0796075,13.0
435,F,1.625,1.2875,0.5125,38.6403685,16.48523425,7.69688925,11.1980525,10.0
436,F,1.6625,1.2625,0.4375,38.71124225,20.79435825,8.8166945,9.4970825,11.0
437,I,0.725,0.525,0.15,2.83495,1.20485375,0.6520385,0.850485,5.0
438,M,1.4375,1.1125,0.3625,27.8108595,12.23280925,4.86193925,7.654365,11.0
439,I,1.3,1.0,0.375,19.43358225,8.15048125,4.57844425,5.6982495,9.0
440,F,1.625,1.25,0.4125,35.62114675,16.68368075,8.0229085,9.07184,10.0
441,I,0.6875,0.5,0.1375,3.07592075,1.54504775,0.4819415,0.8788345,7.0
442,M,1.175,0.9125,0.3125,14.61416725,6.08096775,3.4869885,4.32329875,8.0
443,F,1.6125,1.25,0.4375,36.61337925,16.25843825,8.66077225,10.489315,10.0
444,I,0.825,0.6625,0.2125,5.9817445,2.26796,1.077281,1.8427175,8.0
445,F,1.3375,1.025,0.4125,21.64484325,8.94426725,4.7343665,6.9456275,12.0
446,I,1.225,0.9625,0.325,17.50581625,9.87980075,4.082328,4.3941725,8.0
447,M,1.375,1.0625,0.3375,22.89222125,8.46232575,4.60679375,7.654365,10.0
448,I,0.675,0.4875,0.175,2.08368825,0.793786,0.56699,0.7087375,5.0
449,M,1.4875,1.1,0.375,30.5324115,13.99047825,6.10931725,8.50485,11.0
450,M,1.85,1.425,0.525,62.21297775,29.66775175,13.67863375,17.7184375,11.0
451,M,1.45,1.125,0.35,24.73493875,11.15552825,5.88252125,6.80388,8.0
452,M,1.475,1.2375,0.425,31.59551775,13.13999325,6.61960825,9.07184,12.0
453,M,1.5625,1.2125,0.4375,36.78347625,17.10892325,8.561549,8.50485,14.0
454,F,1.15,0.8875,0.3,14.571643,6.6621325,3.6003865,5.08873525,11.0
455,M,1.2875,1.0,0.375,21.885814,9.42620875,4.60679375,7.654365,8.0
456,M,1.2875,1.0,0.3875,20.96445525,8.6465975,5.0745605,7.824462,10.0
457,M,1.5125,1.225,0.3875,31.18445,13.891255,7.10154975,8.29222875,11.0
458,M,1.25,0.9875,0.3125,17.19397175,7.10154975,2.891649,5.5281525,10.0
459,M,1.4,1.125,0.4125,25.51455,10.47514025,5.54232725,7.7961125,10.0
460,M,1.0125,0.7625,0.2625,8.901743,3.55786225,1.99863975,2.83495,7.0
461,M,1.6875,1.3125,0.4375,38.215126,13.65028425,8.83086925,10.56018875,16.0
462,I,1.25,0.95,0.3375,15.87572,7.41339425,3.01922175,4.80524025,8.0
463,F,1.625,1.3125,0.5125,44.338618,19.220961,11.43902325,11.056305,11.0
464,F,1.2875,0.975,0.325,18.86659225,7.087375,4.0539785,5.20213325,10.0
465,F,1.55,1.2125,0.4375,32.16250775,14.4298955,6.4353365,11.056305,9.0
466,M,1.6,1.2875,0.4375,50.4337605,14.74174,10.39009175,14.17475,17.0
467,F,1.3125,1.0375,0.3875,22.963095,9.8372765,3.98310475,6.747181,12.0
468,M,1.8,1.4375,0.475,61.6034635,31.6096925,11.850091,14.21727425,11.0
469,F,1.2375,0.95,0.3625,18.80989325,7.01650125,4.06815325,4.876114,10.0
470,F,1.5875,1.25,0.4125,38.11590275,16.54193325,8.85921875,10.489315,9.0
471,I,1.0625,0.8375,0.2625,9.70970375,3.912231,2.324659,2.83495,7.0
472,F,1.3875,1.0625,0.3625,24.720764,7.3425205,5.40057975,8.0796075,12.0
473,I,1.3,0.975,0.3,16.9813505,6.2652395,3.27436725,5.6699,11.0
474,F,1.1,0.85,0.2625,12.68640125,5.9817445,3.1467945,3.40194,7.0
475,M,1.525,1.175,0.35,31.1561005,13.4660125,6.010094,8.788345,10.0
476,I,1.325,0.9875,0.325,14.13222575,6.747181,3.2601925,4.3941725,9.0
477,F,1.625,1.3125,0.5125,40.993377,16.386011,8.731646,12.757275,14.0
478,M,1.675,1.35,0.5,38.90968875,14.401546,8.20718025,12.6155275,11.0
479,I,0.8375,0.625,0.225,5.7549485,2.041164,1.54504775,1.5592225,7.0
480,M,1.225,0.9125,0.3125,17.2648455,7.3992195,3.69960975,4.6776675,9.0
481,M,1.2875,1.0,0.3375,20.70930975,7.9095105,4.422522,5.386405,10.0
482,I,1.3,1.0625,0.3125,19.74542675,8.164656,3.8838815,5.8116475,8.0
483,F,1.5625,1.2125,0.425,36.61337925,17.8885345,8.561549,10.149121,11.0
484,M,1.575,1.225,0.475,38.96638775,16.51358375,7.767763,10.0640725,11.0
485,I,1.2375,0.9625,0.2875,15.932419,7.0590255,3.52951275,4.53592,8.0
486,F,1.575,1.3125,0.45,38.22930075,12.757275,7.24329725,13.891255,15.0
487,M,1.85,1.4375,0.575,52.29065275,26.932025,13.19669225,14.21727425,11.0
488,I,0.425,0.3,0.075,0.623689,0.3118445,0.21262125,0.283495,5.0
489,F,1.4875,1.2,0.4125,35.777069,15.6772735,7.66853975,11.226402,12.0
490,I,1.1,0.825,0.275,12.6722265,4.80524025,2.5231055,3.40194,8.0
491,I,1.0,0.775,0.225,7.58349125,3.288542,1.63009625,2.1262125,8.0
492,M,1.3125,1.025,0.3875,24.097075,8.09378225,5.046211,7.37087,13.0
493,F,1.5625,1.2,0.3625,27.51318975,13.437663,7.3992195,7.2291225,8.0
494,F,1.675,1.3,0.4375,36.81182575,17.42076775,7.8528115,10.6310625,11.0
495,F,1.5125,1.175,0.375,32.10580875,16.59863225,6.066793,8.221355,10.0
496,I,1.125,0.8875,0.2625,12.43125575,5.65572525,2.70737725,3.8271825,9.0
497,F,1.6375,1.3125,0.475,39.70347475,16.48523425,9.2702865,11.4815475,17.0
498,M,1.675,1.3,0.525,43.02036625,18.5689225,10.92873225,11.3398,10.0
499,F,1.5625,1.2,0.4,32.601925,12.74310025,8.85921875,9.2135875,12.0
500,I,0.575,0.3875,0.1625,1.82854275,0.8788345,0.396893,0.60951425,6.0
501,M,1.4625,1.125,0.3625,26.18076325,10.77281,6.010094,7.37087,9.0
502,F,1.4625,1.0875,0.4375,29.993771,8.46232575,6.19436575,9.4970825,15.0
503,F,1.7625,1.4375,0.475,49.31395525,27.8675585,9.25611175,12.3320325,10.0
504,I,0.8875,0.6875,0.2125,6.30776375,2.76407625,1.3891255,2.4097075,6.0
505,M,1.4875,1.175,0.4,27.9242575,12.99824575,5.5281525,6.690482,11.0
506,M,1.175,0.8875,0.2625,14.5999925,6.350288,3.16096925,4.9611625,8.0
507,M,1.3125,1.0,0.35,23.6151335,10.6877615,4.53592,6.23689,9.0
508,F,1.525,1.2125,0.425,30.91512975,11.43902325,6.16601625,10.0640725,20.0
509,M,1.7875,1.4125,0.45,51.2275465,22.69377475,10.56018875,12.6155275,11.0
510,I,1.1875,0.9125,0.3125,15.12445825,6.76135575,3.10427025,4.252425,8.0
511,I,1.325,1.0625,0.4,23.51591025,10.98543125,5.51397775,6.9456275,9.0
512,M,1.425,1.0875,0.35,24.73493875,9.90815025,4.97533725,8.0796075,9.0
513,I,0.975,0.725,0.2125,7.2858215,3.2601925,1.7293195,2.16873675,7.0
514,M,1.5,1.1625,0.375,29.9654215,11.453198,6.80388,8.6465975,11.0
515,I,0.8875,0.65,0.225,6.7188315,3.061746,1.11980525,1.984465,6.0
516,M,1.7125,1.3,0.475,41.80133775,17.179797,9.7805775,11.4815475,11.0
517,F,1.45,1.15,0.3625,27.555714,11.963489,6.36446275,7.04485075,10.0
518,M,1.5625,1.225,0.375,25.2594045,11.169703,6.22271525,7.7961125,11.0
519,M,1.7375,1.375,0.5375,53.410458,26.97454925,10.41844125,12.6155275,11.0
520,I,0.8625,0.6375,0.2,5.06038575,1.63009625,0.86465975,1.417475,6.0
521,F,1.6375,1.275,0.4125,38.00250475,16.08834125,8.3064035,11.90679,10.0
522,I,0.9625,0.75,0.2375,8.15048125,4.74854125,1.77184375,2.551455,7.0
523,I,1.1625,0.875,0.275,14.78426425,6.73300625,2.8066005,3.8271825,9.0
524,M,1.4125,1.125,0.375,27.499015,13.19669225,5.54232725,7.37087,8.0
525,F,1.5625,1.225,0.4125,34.1611475,14.7133905,7.1724235,9.7805775,12.0
526,I,1.0375,0.7875,0.2625,8.00873375,3.7137845,1.94194075,2.6932025,8.0
527,M,1.3125,1.025,0.3625,19.85882475,9.525432,4.83358975,5.6699,8.0
528,F,1.6125,1.225,0.45,36.78347625,14.92601175,8.164656,10.3475675,10.0
529,F,1.5875,1.3125,0.425,41.91473575,17.8885345,8.88756825,11.056305,11.0
530,F,1.4375,1.175,0.45,27.78251,12.48795475,4.80524025,10.20582,15.0
531,I,0.85,0.65,0.225,5.1312595,2.05533875,0.94970825,1.70097,6.0
532,I,1.4,1.025,0.3875,24.437269,12.00601325,5.0745605,8.0796075,9.0
533,M,1.5,1.25,0.4125,32.31843,11.6516445,8.54737425,9.2135875,11.0
534,M,1.6125,1.2875,0.4375,43.7432785,18.18620425,9.525432,11.41067375,11.0
535,F,0.775,0.5625,0.1875,4.252425,1.71514475,1.190679,1.2757275,11.0
536,I,1.45,1.0875,0.3625,19.9863975,8.68912175,3.86970675,6.23689,10.0
537,F,1.4625,1.25,0.4,34.529691,17.50581625,6.22271525,8.50485,10.0
538,F,1.775,1.4125,0.4875,51.2275465,27.21552,13.60776,14.514944,10.0
539,M,1.2375,0.95,0.325,15.87572,6.5487345,3.55786225,4.3941725,9.0
540,I,1.3,0.95,0.3,18.71067,7.01650125,4.03980375,5.10291,9.0
541,I,1.1875,0.925,0.3125,16.34348675,6.42116175,3.572037,5.2446575,8.0
542,M,1.5,1.2625,0.4875,35.777069,14.968536,7.5693165,13.324265,10.0
543,M,1.425,1.125,0.3625,24.28134675,8.74582075,4.32329875,7.37087,10.0
544,I,0.9125,0.6625,0.2375,6.7188315,3.118445,1.14815475,2.4097075,6.0
545,F,1.4375,1.1125,0.325,20.87940675,9.241937,4.649318,6.23689,8.0
546,F,1.5125,1.225,0.375,32.16250775,13.947954,7.15824875,9.922325,10.0
547,M,1.3,1.025,0.3,16.5844575,8.15048125,3.75630875,4.252425,10.0
548,M,1.175,0.8875,0.3125,13.5794105,5.68407475,3.01922175,4.6776675,8.0
549,M,1.45,1.1,0.4125,25.0893075,11.0846545,6.123492,7.7961125,16.0
550,I,0.9375,0.7125,0.25,9.7238785,4.83358975,1.8994165,2.1262125,7.0
551,M,1.575,1.175,0.4,31.34037225,16.42853525,6.22271525,7.89533575,9.0
552,F,1.425,1.1375,0.4125,29.256684,12.6155275,6.747181,8.3631025,15.0
553,F,1.2625,1.0125,0.35,19.43358225,10.2341695,4.23825025,5.10291,8.0
554,I,0.95,0.6875,0.2125,6.2085405,2.11203775,1.48834875,1.871067,6.0
555,M,1.575,1.2,0.3125,35.81959325,14.55746825,8.88756825,8.9300925,9.0
556,M,1.3,1.025,0.3125,18.653971,7.78193775,4.60679375,5.10291,9.0
557,M,1.525,1.1875,0.425,34.302895,15.06775925,7.427569,9.2135875,9.0
558,I,0.675,0.4625,0.1625,3.61456125,1.474174,0.6520385,0.850485,5.0
559,F,1.4125,1.075,0.3625,21.432222,8.77417025,4.77689075,7.087375,13.0
560,F,1.55,1.1375,0.3875,32.5168765,15.46465225,7.314171,8.6465975,11.0
561,M,1.2125,0.9625,0.375,17.1514475,6.81805475,3.98310475,5.2446575,10.0
562,F,1.625,1.275,0.4375,43.1762885,17.33571925,5.8116475,12.643877,14.0
563,M,1.55,1.2,0.4125,31.96406125,13.96212875,6.16601625,9.4970825,10.0
564,I,1.3,1.0375,0.375,18.10115575,7.10154975,4.63514325,5.5281525,9.0
565,I,1.1875,0.9125,0.35,14.75591475,5.443104,3.01922175,5.5281525,9.0
566,M,0.9375,0.725,0.2375,7.314171,2.721552,1.6159215,2.26796,7.0
567,M,1.2875,0.9125,0.35,16.40018575,7.087375,3.69960975,4.6776675,8.0
568,I,0.4375,0.325,0.1,0.9355335,0.35436875,0.18427175,0.283495,4.0
569,M,1.3,1.075,0.35,23.700182,9.87980075,5.14543425,6.80388,11.0
570,I,1.4,1.075,0.325,24.7491135,11.8784405,5.03203625,6.9456275,9.0
571,M,1.5125,1.15,0.425,40.83745475,19.71707725,8.63242275,8.9300925,9.0
572,F,1.425,1.125,0.3875,25.61377325,11.49572225,5.20213325,6.87475375,10.0
573,F,1.1875,0.9,0.2625,13.947954,5.499803,2.9199985,4.9611625,11.0
574,I,0.975,0.75,0.2375,7.9662095,4.46504625,1.17650425,2.1829115,6.0
575,I,0.45,0.3375,0.1125,0.9922325,0.2551455,0.226796,0.2551455,5.0
576,M,1.425,1.0875,0.3875,24.79163775,10.6310625,5.40057975,6.80388,11.0
577,M,1.525,1.2125,0.45,32.375129,11.5382465,8.0796075,10.20582,10.0
578,F,1.375,1.05,0.3875,24.4089195,9.48290775,5.4714535,7.7961125,10.0
579,I,0.875,0.6625,0.225,5.25883225,2.05533875,1.17650425,1.70097,6.0
580,I,1.175,0.9375,0.3125,15.43630275,6.860579,3.89805625,4.252425,8.0
581,M,1.6375,1.3125,0.475,40.69570725,16.4710595,8.391452,12.6155275,11.0
582,M,1.45,1.05,0.325,23.6151335,9.525432,5.6699,4.9611625,10.0
583,F,1.575,1.2125,0.4875,38.51279575,14.4298955,9.525432,12.40290625,18.0
584,I,0.925,0.7125,0.225,7.55514175,3.5436875,1.43164975,2.1262125,7.0
585,M,1.55,1.25,0.4125,34.132798,13.62193475,7.314171,10.0640725,10.0
586,M,1.65,1.325,0.5,44.8772585,20.8368825,10.6310625,10.546014,11.0
587,M,1.5125,1.1875,0.4125,27.76833525,11.736693,4.26659975,8.221355,9.0
588,M,1.1625,0.9125,0.2625,13.8062065,6.70465675,2.70737725,3.21766825,8.0
589,F,1.525,1.1375,0.4125,32.24755625,14.84096325,6.973977,8.3631025,8.0
590,M,1.5,1.175,0.375,26.46425825,11.32562525,7.0023265,8.788345,9.0
591,M,1.5125,1.1875,0.3625,26.01066625,11.41067375,6.56290925,7.597666,12.0
592,I,1.25,0.9375,0.35,16.23008875,6.7188315,3.0333965,4.9611625,8.0
593,I,0.6375,0.45,0.1375,2.31048425,0.94970825,0.4252425,0.56699,5.0
594,F,1.325,1.0625,0.375,21.0069795,7.10154975,4.89028875,6.70465675,9.0
595,I,1.4375,1.0875,0.3,20.28406725,8.9300925,4.77689075,6.6621325,12.0
596,I,0.9375,0.6875,0.25,7.824462,2.84912475,1.63009625,2.4097075,14.0
597,F,1.4125,1.1125,0.325,27.8675585,9.28446125,5.34388075,9.07184,10.0
598,M,1.2125,0.95,0.3125,17.08057375,8.29222875,4.5075705,4.9611625,9.0
599,M,1.55,1.3,0.5,38.11590275,16.79707875,7.52679225,11.623295,12.0
600,F,1.6125,1.225,0.375,32.16250775,13.93377925,5.59902625,9.752228,10.0
601,F,1.5,1.175,0.45,32.6869735,12.0485375,7.2858215,10.20582,18.0
602,M,1.3125,1.0,0.3125,20.6100865,9.015141,4.252425,4.9611625,8.0
603,F,1.475,1.1375,0.3875,29.8520235,12.60135275,6.4353365,8.3631025,12.0
604,I,1.1375,0.8625,0.3,12.757275,5.159609,2.2963095,3.5436875,9.0
605,F,1.4125,1.1,0.35,23.51591025,9.87980075,5.40057975,6.7755305,11.0
606,M,1.425,1.125,0.4,24.73493875,10.9145575,5.556502,7.2291225,11.0
607,I,0.8375,0.625,0.2125,5.25883225,2.11203775,1.17650425,1.70097,7.0
608,F,1.2875,1.0375,0.35,22.9914445,8.66077225,5.6699,7.37087,16.0
609,I,0.925,0.6875,0.2375,6.123492,2.50893075,1.4458245,1.984465,9.0
610,F,1.5625,1.2375,0.3875,35.98969025,15.592225,7.3425205,9.4970825,12.0
611,M,1.625,1.3125,0.475,42.33997825,14.92601175,9.17106325,12.8990225,17.0
612,F,1.25,0.9375,0.3125,16.839603,6.747181,3.61456125,5.10291,13.0
613,I,0.9375,0.725,0.2125,6.98815175,2.2963095,1.37495075,1.984465,6.0
614,F,1.675,1.2875,0.4125,34.06192425,15.8473705,7.41339425,10.81533425,15.0
615,F,1.2125,0.9125,0.375,16.45688475,7.10154975,3.30271675,4.252425,8.0
616,I,1.125,0.875,0.25,13.05494475,6.76135575,2.324659,3.78465825,8.0
617,M,1.7,1.4125,0.5,50.6605565,23.23241525,11.623295,13.04077,11.0
618,M,1.0875,0.875,0.275,13.90542975,5.59902625,2.48058125,3.685435,9.0
619,I,1.325,1.0375,0.3625,17.08057375,8.34892775,3.98310475,5.783298,9.0
620,M,1.5875,1.2875,0.4625,36.58502975,13.50853675,8.107957,9.355335,13.0
621,F,1.1375,0.8875,0.2875,12.813974,5.99591925,2.8066005,3.685435,9.0
622,F,1.425,1.15,0.35,24.28134675,12.37455675,5.14543425,6.80388,9.0
623,F,1.6125,1.2875,0.4375,39.3774555,17.6050395,8.43397625,11.90679,13.0
624,F,1.4,1.0875,0.4,26.12406425,8.77417025,6.13766675,8.3631025,16.0
625,F,1.5875,1.25,0.45,34.8415355,15.52135125,7.427569,10.489315,11.0
626,I,0.7375,0.55,0.175,3.38776525,1.5592225,0.80796075,0.9922325,6.0
627,F,1.1375,0.85,0.2875,12.643877,5.10291,2.79242575,3.8271825,9.0
